stateEstimate.x,stateEstimate.y,stateEstimate.z,stateEstimate.vx,stateEstimate.vy,stateEstimate.vz
-0.31762245297431946,-0.37650105357170105,0.026476696133613586,3.2880838261917233e-05,-0.0029695441480726004,0.0005066415178589523
-0.31775155663490295,-0.37623485922813416,0.026463454589247704,-0.0005292384885251522,-0.0018451345385983586,0.0003943875490222126
-0.3178136944770813,-0.3761866092681885,0.025998743250966072,-0.0005542731378227472,-0.0007826811634004116,-0.001952330581843853
-0.31784340739250183,-0.37624189257621765,0.025992928072810173,-0.0006000958383083344,-0.0008525341399945319,-0.0017424108227714896
-0.31813937425613403,-0.3763420581817627,0.025938265025615692,-0.0022867252118885517,-0.0010778963332995772,-0.0018023683223873377
-0.3178792893886566,-0.3762608468532562,0.0259840190410614,-0.0005688483361154795,-0.0005261300830170512,-0.0013823516201227903
-0.3174520432949066,-0.37599554657936096,0.02661122754216194,0.0001997507206397131,0.00013052405847702175,0.0023837655317038298
-0.31746768951416016,-0.3760545253753662,0.026577455922961235,-4.4489996071206406e-05,-0.0008415306219831109,0.0020426278933882713
-0.3174686133861542,-0.3760632872581482,0.02659854106605053,-0.00014222109166439623,-0.0009129635291174054,0.0021748968865722418
-0.3174813687801361,-0.3759843111038208,0.02660391665995121,-0.00021926886984147131,-0.0006879472057335079,0.0021491823717951775
-0.31730061769485474,-0.37582331895828247,0.026770612224936485,0.00036562260356731713,0.0003849753993563354,0.0027915206737816334
-0.3173864185810089,-0.37591245770454407,0.026762038469314575,4.780679228133522e-05,-0.0005724829970858991,0.0024476919788867235
-0.3173062205314636,-0.3758101463317871,0.026815524324774742,0.000272075500106439,0.0003951329563278705,0.0023785578086972237
-0.3173038065433502,-0.37580570578575134,0.02683955803513527,0.00020831896108575165,0.0004935748293064535,0.002428412437438965
-0.31769222021102905,-0.37603527307510376,0.026253478601574898,-0.0005334906163625419,0.00014770646521355957,-0.0012236188631504774
-0.3177865445613861,-0.3762504458427429,0.02625013329088688,-0.0006372464704327285,-0.0012651021825149655,-0.0008941279374994338
-0.31771013140678406,-0.37614205479621887,0.02626955509185791,-0.00016666643205098808,-0.0002535722160246223,-0.0007578902295790613
-0.3177051246166229,-0.37617024779319763,0.02626841329038143,-0.00010703055886551738,-0.000357721553882584,-0.0006637067999690771
-0.31770655512809753,-0.3761739134788513,0.026261083781719208,-0.0001811132678994909,-0.0003772081690840423,-0.0008019715314731002
-0.3182169198989868,-0.3764837086200714,0.025484198704361916,-0.0010232731001451612,-0.001100214314647019,-0.005163416266441345
-0.3182268440723419,-0.3764949142932892,0.025431955233216286,-0.0009619196644052863,-0.0011423530522733927,-0.0052847727201879025
-0.31823697686195374,-0.3765060603618622,0.02537887543439865,-0.0010668938048183918,-0.001084730844013393,-0.005330899264663458
-0.3182481825351715,-0.37651655077934265,0.025325419381260872,-0.0011720969341695309,-0.0010124348336830735,-0.005359737202525139
-0.31814414262771606,-0.376455157995224,0.02551552839577198,-0.0008771055145189166,-0.0007800448220223188,-0.003981031943112612
-0.3181533217430115,-0.37646180391311646,0.02547592855989933,-0.0009594219736754894,-0.0005471196491271257,-0.00393842626363039
-0.31831395626068115,-0.37661921977996826,0.025530684739351273,-0.0012380864936858416,-0.001203700085170567,-0.0032366053201258183
-0.31832581758499146,-0.37663111090660095,0.02549852430820465,-0.001136138685978949,-0.001175574609078467,-0.0031951479613780975
-0.3183721601963043,-0.37663084268569946,0.025686118751764297,-0.0013978913193568587,-0.0011231445241719484,-0.0017265800852328539
-0.31838616728782654,-0.37664201855659485,0.025669414550065994,-0.0014012736501172185,-0.0011111461790278554,-0.0016139037907123566
-0.31842899322509766,-0.37665486335754395,0.025663716718554497,-0.0014686660142615438,-0.0010232485365122557,-0.0015483674360439181
-0.31844398379325867,-0.3766648471355438,0.025647856295108795,-0.0015295722987502813,-0.0009732997277751565,-0.0016234831418842077
-0.31861215829849243,-0.3767680823802948,0.025412889197468758,-0.0019893571734428406,-0.0013297139666974545,-0.0028357533738017082
-0.3186318576335907,-0.37678173184394836,0.02538401633501053,-0.0019507065881043673,-0.0013987431302666664,-0.0029384465888142586
-0.31870967149734497,-0.3767954409122467,0.025372108444571495,-0.0023616263642907143,-0.0013584489934146404,-0.002748875878751278
-0.31873369216918945,-0.37680870294570923,0.025345997884869576,-0.002440395299345255,-0.0012930292868986726,-0.002473030937835574
-0.3180118203163147,-0.37643498182296753,0.025939183309674263,0.0007142331451177597,0.00010064180969493464,0.0008931183838285506
-0.3180047273635864,-0.37643513083457947,0.02594873309135437,0.0007046906393952668,-0.00013083755038678646,0.0010170782916247845
-0.31799840927124023,-0.37643706798553467,0.025958899408578873,0.0005587732302956283,-0.00025826008641161025,0.00101657013874501
-0.3179926872253418,-0.3764389455318451,0.02596946246922016,0.000582745298743248,-0.00011901072866749018,0.001096598687581718
-0.31806471943855286,-0.37637487053871155,0.026001283898949623,0.00015756367065478116,0.0003343747230246663,0.001377844950184226
-0.3180629312992096,-0.37637123465538025,0.02601543441414833,0.00020027563732583076,0.00039169774390757084,0.001452471362426877
-0.31875115633010864,-0.37662163376808167,0.025924071669578552,-0.003561690915375948,-0.0006801832350902259,0.0010557126952335238
-0.3184233009815216,-0.3764994144439697,0.026006467640399933,-0.0013915052404627204,-0.00021281179215293378,0.0013146052369847894
-0.319143146276474,-0.3769306540489197,0.024965325370430946,-0.003038078313693404,-0.001431747805327177,-0.004923841450363398
-0.3191736042499542,-0.3769449293613434,0.024915659800171852,-0.003053638618439436,-0.0014249187661334872,-0.005008978769183159
-0.3192044198513031,-0.37695926427841187,0.024865346029400826,-0.003110575955361128,-0.0014429460279643536,-0.005053339991718531
-0.31923559308052063,-0.3769734501838684,0.024814508855342865,-0.0031243532430380583,-0.0013960377546027303,-0.005113739985972643
-0.31905123591423035,-0.3768528401851654,0.025207186117768288,-0.002501721726730466,-0.0010193715570494533,-0.002547151641920209
-0.319149911403656,-0.37705114483833313,0.02516378089785576,-0.0024847905151546,-0.002346618101000786,-0.002542191417887807
-0.31900516152381897,-0.3768264353275299,0.02516554482281208,-0.001719050807878375,-0.0008215239504352212,-0.00243813032284379
-0.3190227746963501,-0.3768337070941925,0.02514152228832245,-0.0018043559975922108,-0.0006328566232696176,-0.002365992171689868
-0.3188451826572418,-0.3767107427120209,0.0258017685264349,-0.0012021943693980575,-0.00014355327584780753,0.001604764023795724
-0.3188566565513611,-0.37671151757240295,0.025818146765232086,-0.0010942330118268728,-1.1311360140098259e-05,0.0016712613869458437
-0.318868488073349,-0.3767112195491791,0.02583511732518673,-0.0012695171171799302,6.920919986441731e-05,0.0017232814570888877
-0.318880558013916,-0.3767099976539612,0.025852272287011147,-0.0011464111739769578,0.00017395324539393187,0.001707936986349523
-0.3188261389732361,-0.3766619861125946,0.026282494887709618,-0.0008054172503761947,0.000370259047485888,0.0040194508619606495
-0.3187030553817749,-0.37634432315826416,0.026330742985010147,-0.00042048978502862155,0.0020573262590914965,0.00405557407066226
-0.3191835880279541,-0.3764490485191345,0.026363564655184746,-0.0027012615464627743,0.0016804486513137817,0.0040718428790569305
-0.3192104399204254,-0.3764321506023407,0.026404034346342087,-0.0026679253205657005,0.0017005886184051633,0.004022461827844381
-0.3187081813812256,-0.37634289264678955,0.026451168581843376,-0.0003259469522163272,0.0019393452676013112,0.004009428899735212
-0.31871795654296875,-0.3763291835784912,0.02631724253296852,-0.0002590823860373348,0.0020792880095541477,0.003113779006525874
-0.31872043013572693,-0.37630772590637207,0.026348480954766273,-0.00023538136156275868,0.002212983788922429,0.0031341800931841135
-0.318815678358078,-0.3766733407974243,0.026378268375992775,-0.000496785796713084,0.00021432632638607174,0.003230807837098837
-0.31867584586143494,-0.37653639912605286,0.026351122185587883,-0.0003801433776970953,0.0004972966271452606,0.0031020042952150106
-0.3185873329639435,-0.37646743655204773,0.026609446853399277,-0.00031191494781523943,0.0006065465277060866,0.004510771483182907
